endpoint_id,endpoint,method,day,call_count,auth_fail_rate,p95_latency_ms,lifecycle_state,is_zombie,is_shadow,anomaly
0,/v1/accounts/{accountId}/statement,GET,0,464,0.027,280.2,deprecated,0,0,1
0,/v1/accounts/{accountId}/statement,GET,1,431,0.0323,145.5,deprecated,0,0,1
0,/v1/accounts/{accountId}/statement,GET,2,462,0.0537,272.0,deprecated,0,0,1
0,/v1/accounts/{accountId}/statement,GET,3,455,0.0241,239.0,deprecated,0,0,1
0,/v1/accounts/{accountId}/statement,GET,4,390,0.0332,275.8,deprecated,0,0,1
0,/v1/accounts/{accountId}/statement,GET,5,382,0.0282,258.5,deprecated,0,0,1
0,/v1/accounts/{accountId}/statement,GET,6,379,0.0109,282.9,deprecated,0,0,1
0,/v1/accounts/{accountId}/statement,GET,7,360,0.0332,223.6,deprecated,0,0,1
0,/v1/accounts/{accountId}/statement,GET,8,356,0.0436,249.6,deprecated,0,0,1
0,/v1/accounts/{accountId}/statement,GET,9,355,0.0352,282.6,deprecated,0,0,1
0,/v1/accounts/{accountId}/statement,GET,10,351,0.0402,264.1,deprecated,0,0,1
0,/v1/accounts/{accountId}/statement,GET,11,358,0.0101,332.0,deprecated,0,0,1
0,/v1/accounts/{accountId}/statement,GET,12,892,0.0291,288.3,deprecated,0,0,1
0,/v1/accounts/{accountId}/statement,GET,13,793,0.0238,203.4,deprecated,0,0,1
0,/v1/accounts/{accountId}/statement,GET,14,919,0.0345,225.5,deprecated,0,0,1
0,/v1/accounts/{accountId}/statement,GET,15,904,0.0347,227.1,deprecated,0,0,1
0,/v1/accounts/{accountId}/statement,GET,16,829,0.0304,228.6,deprecated,0,0,1
0,/v1/accounts/{accountId}/statement,GET,17,707,0.0396,210.4,deprecated,0,0,1
0,/v1/accounts/{accountId}/statement,GET,18,545,0.0257,228.6,deprecated,0,0,1
0,/v1/accounts/{accountId}/statement,GET,19,759,0.0431,302.6,deprecated,0,0,1
0,/v1/accounts/{accountId}/statement,GET,20,585,0.0323,262.7,deprecated,0,0,1
0,/v1/accounts/{accountId}/statement,GET,21,538,0.035,289.8,deprecated,0,0,1
0,/v1/accounts/{accountId}/statement,GET,22,575,0.0257,330.1,deprecated,0,0,1
0,/v1/accounts/{accountId}/statement,GET,23,459,0.0459,230.6,deprecated,0,0,1
0,/v1/accounts/{accountId}/statement,GET,24,403,0.0301,207.6,deprecated,0,0,1
0,/v1/accounts/{accountId}/statement,GET,25,300,0.0307,263.1,deprecated,0,0,1
0,/v1/accounts/{accountId}/statement,GET,26,472,0.0407,157.7,deprecated,0,0,1
0,/v1/accounts/{accountId}/statement,GET,27,333,0.022,196.5,deprecated,0,0,1
0,/v1/accounts/{accountId}/statement,GET,28,287,0.0279,232.7,deprecated,0,0,1
0,/v1/accounts/{accountId}/statement,GET,29,195,0.0338,255.3,deprecated,0,0,1
1,/v1/cards/{cardId}/freeze,POST,0,28,0.049,394.3,orphaned,0,0,0
1,/v1/cards/{cardId}/freeze,POST,1,35,0.1421,872.6,orphaned,0,0,0
1,/v1/cards/{cardId}/freeze,POST,2,23,0.1208,371.5,orphaned,0,0,0
1,/v1/cards/{cardId}/freeze,POST,3,30,0.1465,325.6,orphaned,0,0,0
1,/v1/cards/{cardId}/freeze,POST,4,33,0.2387,1023.1,orphaned,0,0,0
1,/v1/cards/{cardId}/freeze,POST,5,31,0.1277,545.1,orphaned,0,0,0
1,/v1/cards/{cardId}/freeze,POST,6,48,0.2245,550.0,orphaned,0,0,0
1,/v1/cards/{cardId}/freeze,POST,7,38,0.205,498.2,orphaned,0,0,0
1,/v1/cards/{cardId}/freeze,POST,8,35,0.1515,716.3,orphaned,0,0,0
1,/v1/cards/{cardId}/freeze,POST,9,14,0.1544,373.4,orphaned,0,0,0
1,/v1/cards/{cardId}/freeze,POST,10,36,0.1591,954.9,orphaned,0,0,0
